time,"P(A)","P(B)","P(CLK)","P(ROUT)"
4.950000e-12,1.254790e+00,9.234908e-01,1.187630e+00,5.467428e-01
4.975000e-12,1.261336e+00,9.290373e-01,1.196217e+00,5.511779e-01
5.000000e-12,1.267931e+00,9.345858e-01,1.204811e+00,5.556213e-01
5.025000e-12,1.273954e+00,9.390724e-01,1.212925e+00,5.600593e-01
5.050000e-12,1.280010e+00,9.435475e-01,1.221024e+00,5.644872e-01
5.075000e-12,1.286086e+00,9.480073e-01,1.229097e+00,5.689038e-01
5.100000e-12,1.292169e+00,9.524479e-01,1.237130e+00,5.733087e-01
5.125000e-12,1.298243e+00,9.568657e-01,1.245111e+00,5.777016e-01
5.150000e-12,1.304293e+00,9.612569e-01,1.253026e+00,5.820825e-01
5.175000e-12,1.310303e+00,9.656178e-01,1.260862e+00,5.864512e-01
5.200000e-12,1.316258e+00,9.699445e-01,1.268607e+00,5.908074e-01
5.225000e-12,1.322144e+00,9.742332e-01,1.276248e+00,5.951509e-01
5.250000e-12,1.327946e+00,9.784804e-01,1.283773e+00,5.994811e-01
5.275000e-12,1.333649e+00,9.826822e-01,1.291171e+00,6.037976e-01
5.300000e-12,1.339241e+00,9.868350e-01,1.298430e+00,6.080998e-01
5.325000e-12,1.344710e+00,9.909352e-01,1.305538e+00,6.123870e-01
5.350000e-12,1.350043e+00,9.949794e-01,1.312486e+00,6.166586e-01
5.375000e-12,1.355230e+00,9.989643e-01,1.319263e+00,6.209136e-01
5.400000e-12,1.360261e+00,1.002886e+00,1.325858e+00,6.251513e-01
5.425000e-12,1.365128e+00,1.006743e+00,1.332264e+00,6.293707e-01
5.450000e-12,1.369823e+00,1.010530e+00,1.338471e+00,6.335708e-01
5.475000e-12,1.374340e+00,1.014246e+00,1.344471e+00,6.377507e-01
5.500000e-12,1.378673e+00,1.017887e+00,1.350256e+00,6.419092e-01
5.525000e-12,1.382818e+00,1.021451e+00,1.355818e+00,6.460454e-01
5.550000e-12,1.386772e+00,1.024936e+00,1.361151e+00,6.501580e-01
5.575000e-12,1.390534e+00,1.028339e+00,1.366249e+00,6.542459e-01
5.600000e-12,1.394101e+00,1.031658e+00,1.371105e+00,6.583080e-01
5.625000e-12,1.397474e+00,1.034892e+00,1.375716e+00,6.623430e-01
5.650000e-12,1.400653e+00,1.038038e+00,1.380076e+00,6.663499e-01
5.675000e-12,1.403641e+00,1.041096e+00,1.384181e+00,6.703275e-01
5.700000e-12,1.406440e+00,1.044063e+00,1.388027e+00,6.742745e-01
5.725000e-12,1.409052e+00,1.046939e+00,1.391613e+00,6.781898e-01
5.750000e-12,1.411482e+00,1.049723e+00,1.394935e+00,6.820723e-01
5.775000e-12,1.413734e+00,1.052414e+00,1.397992e+00,6.859209e-01
5.800000e-12,1.415812e+00,1.055012e+00,1.400782e+00,6.897345e-01
5.825000e-12,1.417721e+00,1.057515e+00,1.403305e+00,6.935120e-01
5.850000e-12,1.419466e+00,1.059925e+00,1.405561e+00,6.972524e-01
5.875000e-12,1.421053e+00,1.062241e+00,1.407549e+00,7.009547e-01
5.900000e-12,1.422487e+00,1.064463e+00,1.409272e+00,7.046181e-01
5.925000e-12,1.423773e+00,1.066592e+00,1.410730e+00,7.082416e-01
5.950000e-12,1.424917e+00,1.068629e+00,1.411925e+00,7.118244e-01
5.975000e-12,1.425923e+00,1.070574e+00,1.412860e+00,7.153658e-01
6.000000e-12,1.426798e+00,1.072428e+00,1.413537e+00,7.188650e-01
6.025000e-12,1.427545e+00,1.074192e+00,1.413962e+00,7.223215e-01
