time,"I(L1|XDUT)"
1.407500e-11,5.904644e-06
1.410000e-11,5.907292e-06
1.412500e-11,5.909880e-06
1.415000e-11,5.912394e-06
1.417500e-11,5.914820e-06
1.420000e-11,5.917146e-06
1.422500e-11,5.919359e-06
1.425000e-11,5.921446e-06
1.427500e-11,5.923397e-06
1.430000e-11,5.925201e-06
1.432500e-11,5.926847e-06
1.435000e-11,5.928327e-06
1.437500e-11,5.929633e-06
1.440000e-11,5.930756e-06
1.442500e-11,5.931691e-06
1.445000e-11,5.932432e-06
1.447500e-11,5.932974e-06
1.450000e-11,5.933314e-06
1.452500e-11,5.933449e-06
1.455000e-11,5.933377e-06
1.457500e-11,5.933097e-06
1.460000e-11,5.932609e-06
1.462500e-11,5.931916e-06
1.465000e-11,5.931019e-06
1.467500e-11,5.929920e-06
1.470000e-11,5.928625e-06
1.472500e-11,5.927138e-06
1.475000e-11,5.925465e-06
1.477500e-11,5.923612e-06
1.480000e-11,5.921587e-06
1.482500e-11,5.919399e-06
1.485000e-11,5.917056e-06
1.487500e-11,5.914567e-06
1.490000e-11,5.911943e-06
1.492500e-11,5.909195e-06
1.495000e-11,5.906334e-06
1.497500e-11,5.903371e-06
1.500000e-11,5.900319e-06
1.502500e-11,5.897190e-06
1.505000e-11,5.893996e-06
1.507500e-11,5.890752e-06
1.510000e-11,5.887469e-06
1.512500e-11,5.884161e-06
1.515000e-11,5.880841e-06
1.517500e-11,5.877522e-06
1.520000e-11,5.874217e-06
1.522500e-11,5.870938e-06
1.525000e-11,5.867700e-06
1.527500e-11,5.864513e-06
1.530000e-11,5.861390e-06
1.532500e-11,5.858342e-06
1.535000e-11,5.855380e-06
1.537500e-11,5.852516e-06
1.540000e-11,5.849759e-06
1.542500e-11,5.847119e-06
1.545000e-11,5.844604e-06
1.547500e-11,5.842224e-06
1.550000e-11,5.839985e-06
1.552500e-11,5.837894e-06
1.555000e-11,5.835958e-06
1.557500e-11,5.834182e-06
1.560000e-11,5.832570e-06
1.562500e-11,5.831127e-06
1.565000e-11,5.829855e-06
1.567500e-11,5.828757e-06
1.570000e-11,5.827833e-06
1.572500e-11,5.827085e-06
1.575000e-11,5.826513e-06
1.577500e-11,5.826114e-06
1.580000e-11,5.825888e-06
1.582500e-11,5.825832e-06
1.585000e-11,5.825943e-06
1.587500e-11,5.826217e-06
1.590000e-11,5.826648e-06
1.592500e-11,5.827232e-06
1.595000e-11,5.827963e-06
1.597500e-11,5.828834e-06
1.600000e-11,5.829838e-06
1.602500e-11,5.830968e-06
1.605000e-11,5.832215e-06
1.607500e-11,5.833570e-06
1.610000e-11,5.835026e-06
1.612500e-11,5.836572e-06
1.615000e-11,5.838199e-06
1.617500e-11,5.839897e-06
1.620000e-11,5.841657e-06
1.622500e-11,5.843467e-06
1.625000e-11,5.845319e-06
1.627500e-11,5.847201e-06
1.630000e-11,5.849103e-06
1.632500e-11,5.851015e-06
1.635000e-11,5.852927e-06
1.637500e-11,5.854829e-06
1.640000e-11,5.856711e-06
1.642500e-11,5.858563e-06
1.645000e-11,5.860376e-06
1.647500e-11,5.862141e-06
1.650000e-11,5.863849e-06
1.652500e-11,5.865491e-06
1.655000e-11,5.867061e-06
1.657500e-11,5.868550e-06
1.660000e-11,5.869952e-06
1.662500e-11,5.871259e-06
1.665000e-11,5.872466e-06
1.667500e-11,5.873568e-06
1.670000e-11,5.874559e-06
1.672500e-11,5.875435e-06
1.675000e-11,5.876192e-06
1.677500e-11,5.876827e-06
1.680000e-11,5.877338e-06
1.682500e-11,5.877723e-06
1.685000e-11,5.877979e-06
1.687500e-11,5.878107e-06
1.690000e-11,5.878106e-06
1.692500e-11,5.877976e-06
1.695000e-11,5.877718e-06
1.697500e-11,5.877335e-06
1.700000e-11,5.876827e-06
1.702500e-11,5.876198e-06
1.705000e-11,5.875450e-06
1.707500e-11,5.874588e-06
1.710000e-11,5.873614e-06
1.712500e-11,5.872534e-06
1.715000e-11,5.871352e-06
1.717500e-11,5.870074e-06
1.720000e-11,5.868705e-06
1.722500e-11,5.867251e-06
1.725000e-11,5.865718e-06
1.727500e-11,5.864113e-06
1.730000e-11,5.862441e-06
1.732500e-11,5.860711e-06
1.735000e-11,5.858929e-06
1.737500e-11,5.857102e-06
1.740000e-11,5.855237e-06
1.742500e-11,5.853341e-06
1.745000e-11,5.851423e-06
1.747500e-11,5.849488e-06
1.750000e-11,5.847544e-06
1.752500e-11,5.845598e-06
1.755000e-11,5.843657e-06
1.757500e-11,5.841729e-06
1.760000e-11,5.839819e-06
1.762500e-11,5.837934e-06
1.765000e-11,5.836080e-06
1.767500e-11,5.834263e-06
1.770000e-11,5.832490e-06
1.772500e-11,5.830765e-06
1.775000e-11,5.829094e-06
