time,"V(A)","I(ROUT)","P(A)","P(OUT)"
2.600000e-12,4.878629e-05,4.935560e-07,3.723121e-01,3.587202e-01
2.610000e-12,4.880237e-05,4.943429e-07,3.737947e-01,3.601539e-01
2.620000e-12,4.882231e-05,4.950789e-07,3.752779e-01,3.615894e-01
2.630000e-12,4.884605e-05,4.957647e-07,3.767618e-01,3.630270e-01
2.640000e-12,4.887352e-05,4.964007e-07,3.782465e-01,3.644666e-01
2.650000e-12,4.890467e-05,4.969876e-07,3.797320e-01,3.659085e-01
2.660000e-12,4.893944e-05,4.975260e-07,3.812185e-01,3.673527e-01
2.670000e-12,4.897775e-05,4.980165e-07,3.827062e-01,3.687992e-01
2.680000e-12,4.901956e-05,4.984597e-07,3.841951e-01,3.702484e-01
2.690000e-12,4.906478e-05,4.988565e-07,3.856852e-01,3.717001e-01
2.700000e-12,4.911336e-05,4.992075e-07,3.871769e-01,3.731546e-01
2.710000e-12,4.916523e-05,4.995135e-07,3.886700e-01,3.746119e-01
2.720000e-12,4.922030e-05,4.997753e-07,3.901648e-01,3.760721e-01
2.730000e-12,4.927852e-05,4.999937e-07,3.916612e-01,3.775353e-01
2.740000e-12,4.933981e-05,5.001696e-07,3.931595e-01,3.790017e-01
2.750000e-12,4.940410e-05,5.003037e-07,3.946598e-01,3.804712e-01
2.760000e-12,4.947132e-05,5.003972e-07,3.961620e-01,3.819439e-01
2.770000e-12,4.954138e-05,5.004507e-07,3.976662e-01,3.834200e-01
2.780000e-12,4.961422e-05,5.004654e-07,3.991727e-01,3.848995e-01
2.790000e-12,4.968975e-05,5.004421e-07,4.006814e-01,3.863825e-01
2.800000e-12,4.976791e-05,5.003819e-07,4.021925e-01,3.878690e-01
2.810000e-12,4.984861e-05,5.002858e-07,4.037059e-01,3.893592e-01
2.820000e-12,4.993178e-05,5.001547e-07,4.052219e-01,3.908530e-01
2.830000e-12,5.001734e-05,4.999899e-07,4.067404e-01,3.923506e-01
2.840000e-12,5.010521e-05,4.997923e-07,4.082615e-01,3.938519e-01
2.850000e-12,5.019531e-05,4.995630e-07,4.097854e-01,3.953572e-01
2.860000e-12,5.028757e-05,4.993032e-07,4.113120e-01,3.968663e-01
2.870000e-12,5.038190e-05,4.990140e-07,4.128415e-01,3.983794e-01
2.880000e-12,5.047822e-05,4.986965e-07,4.143738e-01,3.998965e-01
2.890000e-12,5.057646e-05,4.983520e-07,4.159091e-01,4.014176e-01
2.900000e-12,5.067653e-05,4.979815e-07,4.174474e-01,4.029428e-01
2.910000e-12,5.077836e-05,4.975862e-07,4.189888e-01,4.044721e-01
2.920000e-12,5.088187e-05,4.971674e-07,4.205333e-01,4.060055e-01
2.930000e-12,5.098698e-05,4.967264e-07,4.220810e-01,4.075432e-01
2.940000e-12,5.109361e-05,4.962642e-07,4.236319e-01,4.090850e-01
2.950000e-12,5.120168e-05,4.957821e-07,4.251860e-01,4.106311e-01
2.960000e-12,5.131111e-05,4.952815e-07,4.267435e-01,4.121814e-01
2.970000e-12,5.142183e-05,4.947635e-07,4.283043e-01,4.137360e-01
2.980000e-12,5.153376e-05,4.942294e-07,4.298685e-01,4.152948e-01
2.990000e-12,5.164681e-05,4.936804e-07,4.314361e-01,4.168580e-01
3.000000e-12,5.176093e-05,4.931179e-07,4.330071e-01,4.184254e-01
3.010000e-12,5.187602e-05,4.925432e-07,4.345816e-01,4.199972e-01
3.020000e-12,5.199202e-05,4.919574e-07,4.361597e-01,4.215733e-01
3.030000e-12,5.210885e-05,4.913618e-07,4.377413e-01,4.231537e-01
3.040000e-12,5.222643e-05,4.907579e-07,4.393264e-01,4.247385e-01
3.050000e-12,5.234470e-05,4.901467e-07,4.409151e-01,4.263275e-01
3.060000e-12,5.246357e-05,4.895297e-07,4.425074e-01,4.279209e-01
3.070000e-12,5.258299e-05,4.889080e-07,4.441034e-01,4.295185e-01
3.080000e-12,5.270288e-05,4.882831e-07,4.457030e-01,4.311205e-01
3.090000e-12,5.282316e-05,4.876560e-07,4.473062e-01,4.327267e-01
3.100000e-12,5.294377e-05,4.870282e-07,4.489131e-01,4.343372e-01
3.110000e-12,5.306465e-05,4.864009e-07,4.505236e-01,4.359520e-01
3.120000e-12,5.318572e-05,4.857753e-07,4.521379e-01,4.375709e-01
3.130000e-12,5.330692e-05,4.851526e-07,4.537558e-01,4.391941e-01
3.140000e-12,5.342818e-05,4.845342e-07,4.553774e-01,4.408215e-01
3.150000e-12,5.354945e-05,4.839212e-07,4.570026e-01,4.424530e-01
3.160000e-12,5.367065e-05,4.833149e-07,4.586316e-01,4.440886e-01
3.170000e-12,5.379174e-05,4.827165e-07,4.602642e-01,4.457283e-01
3.180000e-12,5.391263e-05,4.821271e-07,4.619006e-01,4.473721e-01
