time,"V(L4|XLOADINA)","V(L4|XLOADINB)","V(8000)"
2.290000e-12,8.277603e-06,8.481437e-06,3.650467e-05
2.300000e-12,8.241341e-06,8.444051e-06,3.656352e-05
2.310000e-12,8.203444e-06,8.405014e-06,3.662247e-05
2.320000e-12,8.163958e-06,8.364368e-06,3.668154e-05
2.330000e-12,8.122934e-06,8.322160e-06,3.674076e-05
2.340000e-12,8.080424e-06,8.278438e-06,3.680013e-05
2.350000e-12,8.036483e-06,8.233256e-06,3.685969e-05
2.360000e-12,7.991170e-06,8.186670e-06,3.691943e-05
2.370000e-12,7.944548e-06,8.138737e-06,3.697940e-05
2.380000e-12,7.896679e-06,8.089519e-06,3.703958e-05
2.390000e-12,7.847632e-06,8.039081e-06,3.710001e-05
2.400000e-12,7.797475e-06,7.987489e-06,3.716070e-05
2.410000e-12,7.746280e-06,7.934811e-06,3.722165e-05
2.420000e-12,7.694122e-06,7.881120e-06,3.728288e-05
2.430000e-12,7.641074e-06,7.826488e-06,3.734440e-05
2.440000e-12,7.587217e-06,7.770991e-06,3.740621e-05
2.450000e-12,7.532628e-06,7.714707e-06,3.746834e-05
2.460000e-12,7.477389e-06,7.657713e-06,3.753078e-05
2.470000e-12,7.421582e-06,7.600090e-06,3.759354e-05
2.480000e-12,7.365291e-06,7.541921e-06,3.765662e-05
2.490000e-12,7.308600e-06,7.483287e-06,3.772004e-05
2.500000e-12,7.251595e-06,7.424273e-06,3.778380e-05
2.510000e-12,7.194363e-06,7.364964e-06,3.784789e-05
2.520000e-12,7.136989e-06,7.305446e-06,3.791233e-05
2.530000e-12,7.079562e-06,7.245803e-06,3.797711e-05
2.540000e-12,7.022168e-06,7.186123e-06,3.804224e-05
2.550000e-12,6.964895e-06,7.126493e-06,3.810771e-05
2.560000e-12,6.907832e-06,7.066999e-06,3.817352e-05
2.570000e-12,6.851064e-06,7.007727e-06,3.823968e-05
2.580000e-12,6.794678e-06,6.948765e-06,3.830618e-05
2.590000e-12,6.738762e-06,6.890197e-06,3.837302e-05
2.600000e-12,6.683399e-06,6.832109e-06,3.844019e-05
2.610000e-12,6.628676e-06,6.774586e-06,3.850770e-05
2.620000e-12,6.574674e-06,6.717712e-06,3.857553e-05
2.630000e-12,6.521477e-06,6.661568e-06,3.864368e-05
2.640000e-12,6.469165e-06,6.606236e-06,3.871215e-05
2.650000e-12,6.417817e-06,6.551796e-06,3.878093e-05
2.660000e-12,6.367511e-06,6.498326e-06,3.885000e-05
2.670000e-12,6.318324e-06,6.445903e-06,3.891938e-05
2.680000e-12,6.270329e-06,6.394603e-06,3.898903e-05
2.690000e-12,6.223597e-06,6.344498e-06,3.905897e-05
2.700000e-12,6.178199e-06,6.295659e-06,3.912917e-05
2.710000e-12,6.134202e-06,6.248154e-06,3.919964e-05
2.720000e-12,6.091670e-06,6.202051e-06,3.927035e-05
2.730000e-12,6.050667e-06,6.157414e-06,3.934130e-05
2.740000e-12,6.011252e-06,6.114304e-06,3.941248e-05
2.750000e-12,5.973482e-06,6.072779e-06,3.948388e-05
2.760000e-12,5.937411e-06,6.032897e-06,3.955548e-05
2.770000e-12,5.903090e-06,5.994710e-06,3.962728e-05
2.780000e-12,5.870568e-06,5.958270e-06,3.969926e-05
2.790000e-12,5.839890e-06,5.923623e-06,3.977141e-05
2.800000e-12,5.811097e-06,5.890813e-06,3.984372e-05
2.810000e-12,5.784228e-06,5.859883e-06,3.991617e-05
2.820000e-12,5.759320e-06,5.830869e-06,3.998876e-05
2.830000e-12,5.736402e-06,5.803808e-06,4.006146e-05
2.840000e-12,5.715505e-06,5.778729e-06,4.013427e-05
2.850000e-12,5.696654e-06,5.755662e-06,4.020718e-05
2.860000e-12,5.679870e-06,5.734631e-06,4.028016e-05
2.870000e-12,5.665171e-06,5.715657e-06,4.035321e-05
2.880000e-12,5.652573e-06,5.698759e-06,4.042631e-05
2.890000e-12,5.642086e-06,5.683949e-06,4.049945e-05
2.900000e-12,5.633719e-06,5.671240e-06,4.057262e-05
2.910000e-12,5.627474e-06,5.660638e-06,4.064579e-05
2.920000e-12,5.623354e-06,5.652147e-06,4.071897e-05
2.930000e-12,5.621354e-06,5.645767e-06,4.079212e-05
2.940000e-12,5.621469e-06,5.641496e-06,4.086525e-05
2.950000e-12,5.623689e-06,5.639326e-06,4.093833e-05
2.960000e-12,5.628000e-06,5.639248e-06,4.101136e-05
2.970000e-12,5.634386e-06,5.641248e-06,4.108431e-05
2.980000e-12,5.642826e-06,5.645310e-06,4.115719e-05
2.990000e-12,5.653297e-06,5.651412e-06,4.122996e-05
3.000000e-12,5.665773e-06,5.659532e-06,4.130262e-05
3.010000e-12,5.680223e-06,5.669643e-06,4.137516e-05
3.020000e-12,5.696615e-06,5.681715e-06,4.144756e-05
3.030000e-12,5.714913e-06,5.695716e-06,4.151982e-05
3.040000e-12,5.735077e-06,5.711609e-06,4.159191e-05
3.050000e-12,5.757066e-06,5.729355e-06,4.166383e-05
3.060000e-12,5.780835e-06,5.748913e-06,4.173556e-05
3.070000e-12,5.806337e-06,5.770238e-06,4.180709e-05
3.080000e-12,5.833522e-06,5.793284e-06,4.187842e-05
3.090000e-12,5.862336e-06,5.818000e-06,4.194952e-05
3.100000e-12,5.892726e-06,5.844334e-06,4.202039e-05
3.110000e-12,5.924634e-06,5.872232e-06,4.209102e-05
3.120000e-12,5.958000e-06,5.901636e-06,4.216140e-05
3.130000e-12,5.992763e-06,5.932488e-06,4.223151e-05
3.140000e-12,6.028860e-06,5.964726e-06,4.230135e-05
3.150000e-12,6.066225e-06,5.998289e-06,4.237090e-05
3.160000e-12,6.104792e-06,6.033110e-06,4.244016e-05
3.170000e-12,6.144491e-06,6.069123e-06,4.250912e-05
3.180000e-12,6.185252e-06,6.106260e-06,4.257777e-05
3.190000e-12,6.227005e-06,6.144452e-06,4.264610e-05
3.200000e-12,6.269677e-06,6.183629e-06,4.271410e-05
3.210000e-12,6.313194e-06,6.223717e-06,4.278176e-05
3.220000e-12,6.357482e-06,6.264644e-06,4.284908e-05
3.230000e-12,6.402465e-06,6.306337e-06,4.291606e-05
3.240000e-12,6.448068e-06,6.348720e-06,4.298267e-05
3.250000e-12,6.494214e-06,6.391718e-06,4.304892e-05
3.260000e-12,6.540826e-06,6.435256e-06,4.311480e-05
3.270000e-12,6.587827e-06,6.479257e-06,4.318031e-05
3.280000e-12,6.635141e-06,6.523645e-06,4.324543e-05
